number,french_lemma,thematic,pos,adverb_type,formation,is_invariable,placement_position,placement_note,placement_example_front,placement_example_end,example_target_form,memory_note,chinese_translation,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
2767,éventuellement,Adverbs – differences across registers,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Éventuellement, je travaille.",Je travaille éventuellement.,éventuellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,可能地；必要时,possibly,* des sanctions seront éventuellement prises -- sanctions will eventually be taken,des sanctions seront éventuellement prises,5,sanctions will eventually be taken,69,513,69 | 513,adv,no_noun_verb_adj_bucket
2778,quasi,none,"adv,nm",degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est quasi rapide.,Il travaille quasi.,quasi,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,几乎,"almost, nearly",* on entretient un lien quasi mystique avec son pays natal -- we maintain an almost mystical connection with our native country,on entretient un lien quasi mystique avec son pays natal,10,we maintain an almost mystical connection with our native country,76,378,76 | 378,adv|nm,moved_from_nouns_contains_adv_or_conj
2813,strictement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est strictement rapide.,Il travaille strictement.,strictement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,严格地,strictly,* nous ne sommes pas strictement obligés -- we aren't strictly obligated,nous ne sommes pas strictement obligés,6,we aren't strictly obligated,77,348,77 | 348,adv,no_noun_verb_adj_bucket
2915,considérablement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est considérablement rapide.,Il travaille considérablement.,considérablement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,相当地；大幅地,"considerably, significantly, extensively",* nous proposons de réduire considérablement les impôts -- we propose to reduce taxes considerably,nous proposons de réduire considérablement les impôts,7,we propose to reduce taxes considerably,73,399,73 | 399,adv,no_noun_verb_adj_bucket
2930,correctement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond correctement.,Il a répondu correctement.,correctement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,正确地；得体地,properly,* faisons les choses correctement -- let's do things correctly,faisons les choses correctement,4,let's do things correctly,74,372,74 | 372,adv,no_noun_verb_adj_bucket
2957,gravement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est gravement rapide.,Il travaille gravement.,gravement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,严重地,"seriously, solemnly, gravely",* deux maisons ont été gravement endommagées -- two houses were seriously damaged,deux maisons ont été gravement endommagées,6,two houses were seriously damaged,79,286,79 | 286,adv,no_noun_verb_adj_bucket
2990,proprement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond proprement.,Il a répondu proprement.,proprement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,干净地；恰当地,"cleanly, neatly, properly",* je trouve cela proprement scandaleux -- I find that properly scandalous,je trouve cela proprement scandaleux,5,I find that properly scandalous,74,351,74 | 351,adv,no_noun_verb_adj_bucket
2994,encontre,none,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Encontre, il faut continuer.","Il faut continuer; encontre, il faut rester prudent.",encontre,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,相反；反对,contrary to,* tu ne peux pas aller à l'encontre de sa personnalité -- you can't go contrary to his personality,tu ne peux pas aller à l'encontre de sa personnalité,10,you can't go contrary to his personality,65,512,65 | 512,adv,no_noun_verb_adj_bucket
3013,tantôt,Adverbs – differences across registers,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Tantôt, je travaille.",Je travaille tantôt.,tantôt,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,有时；一会儿,"this afternoon, sometimes","* des voix tantôt masculines, tantôt féminines -- voices that were sometimes masculine, sometimes feminine","des voix tantôt masculines, tantôt féminines",6,"voices that were sometimes masculine, sometimes feminine",60,596+l,60 | 596+l,adv,no_noun_verb_adj_bucket
3014,publiquement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond publiquement.,Il a répondu publiquement.,publiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,公开地,publicly,* il ne voulait pas critiquer publiquement ses supérieurs -- he didn't want to publicly criticize his superiors,il ne voulait pas critiquer publiquement ses supérieurs,8,he didn't want to publicly criticize his superiors,75,341,75 | 341,adv,no_noun_verb_adj_bucket
3038,systématiquement,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je systématiquement travaille.,J'ai systématiquement travaillé.,systématiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,系统地；一贯地,systematically,* ce genre de choses sort systématiquement -- this kind of thing happens systematically,ce genre de choses sort systématiquement,6,this kind of thing happens systematically,77,307,77 | 307,adv,no_noun_verb_adj_bucket
3039,énormément,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est énormément rapide.,Il travaille énormément.,énormément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,非常；大量地,enormously,* j'ai énormément d'admiration pour lui -- I have a lot of admiration for him,j'ai énormément d'admiration pour lui,5,I have a lot of admiration for him,63,540+s,63 | 540+s,adv,no_noun_verb_adj_bucket
3058,dedans,Adverbs – differences across registers,"adv,nm(pl),prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Dedans, je reste.",Je reste dedans.,dedans,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在里面,"inside, indoors",* je suis tombé dedans quand j'étais petit -- I fell into it when I was young,je suis tombé dedans quand j'étais petit,7,I fell into it when I was young,62,547-n,62 | 547-n,adv|nm(pl)|prep,moved_from_nouns_contains_adv_or_conj
3061,ouvertement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond ouvertement.,Il a répondu ouvertement.,ouvertement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,公开地,"openly, overtly",* il a parlé assez ouvertement -- he spoke openly enough,il a parlé assez ouvertement,5,he spoke openly enough,81,240,81 | 240,adv,no_noun_verb_adj_bucket
3066,longuement,Adverbs – differences across registers,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Longuement, je travaille.",Je travaille longuement.,longuement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,长时间地；详细地,at length,"* elle m'a longuement regardé, sans colère -- she looked at me for a long time, without anger","elle m'a longuement regardé, sans colère",6,"she looked at me for a long time, without anger",71,385,71 | 385,adv,no_noun_verb_adj_bucket
3115,véritablement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est véritablement rapide.,Il travaille véritablement.,véritablement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,真正地,"truly, really","* elle me démolit, véritablement. elle vous démolit? -- she destroys me, really. does she destroy you?","elle me démolit, véritablement. elle vous démolit?",7,"she destroys me, really. does she destroy you?",71,378,71 | 378,adv,no_noun_verb_adj_bucket
3116,parallèlement,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Parallèlement, il faut continuer.","Il faut continuer; parallèlement, il faut rester prudent.",parallèlement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,同时；平行地,"in parallel, similarly",* j'ai toujours mené parallèlement le travail poétique et le travail social -- I always kept my poetic work and social work in parallel,j'ai toujours mené parallèlement le travail poétique et le travail social,11,I always kept my poetic work and social work in parallel,70,393,70 | 393,adv,no_noun_verb_adj_bucket
3170,quelquefois,Adverbs – differences across registers,adv,frequency,simple adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je quelquefois travaille.,J'ai quelquefois travaillé.,quelquefois,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,有时,sometimes,* quelquefois je pense qu'il a raison -- sometimes I think he's right,quelquefois je pense qu'il a raison,6,sometimes I think he's right,56,613+l -n -s,56 | 613+l -n -s,adv,no_noun_verb_adj_bucket
3198,manifestement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Manifestement, il faut continuer.","Il faut continuer; manifestement, il faut rester prudent.",manifestement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,显然地,"manifestly, clearly",* elle a manifestement bénéficié d'un large soutien -- she clearly enjoyed widespread support,elle a manifestement bénéficié d'un large soutien,7,she clearly enjoyed widespread support,76,293,76 | 293,adv,no_noun_verb_adj_bucket
3200,littéralement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond littéralement.,Il a répondu littéralement.,littéralement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,字面上；简直,literally,* les radiations vont littéralement cuire la planète -- radiation will literally cook the planet,les radiations vont littéralement cuire la planète,7,radiation will literally cook the planet,81,223,81 | 223,adv,no_noun_verb_adj_bucket
3242,doucement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond doucement.,Il a répondu doucement.,doucement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,轻轻地；温柔地,"gently, softly",* il a refermé la porte tout doucement -- he closed the door very gingerly,il a refermé la porte tout doucement,7,he closed the door very gingerly,55,615+l -n,55 | 615+l -n,adv,no_noun_verb_adj_bucket
3256,durement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond durement.,Il a répondu durement.,durement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,严厉地；艰难地,"harshly, severely","* nous avons assez durement vécu, en tant que nation -- we have lived quite a harsh life, as a nation","nous avons assez durement vécu, en tant que nation",9,"we have lived quite a harsh life, as a nation",78,248,78 | 248,adv,no_noun_verb_adj_bucket
3318,fermement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond fermement.,Il a répondu fermement.,fermement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,坚定地,firmly,* nous croyons fermement en ce principe -- we firmly believe in this principle,nous croyons fermement en ce principe,6,we firmly believe in this principle,74,301,74 | 301,adv,no_noun_verb_adj_bucket
3340,difficilement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond difficilement.,Il a répondu difficilement.,difficilement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,困难地,with difficulty,* leur insatiabilité les rend parfois difficilement supportables -- sometimes their instability renders them barely tolerable,leur insatiabilité les rend parfois difficilement supportables,7,sometimes their instability renders them barely tolerable,74,286,74 | 286,adv,no_noun_verb_adj_bucket
3349,brièvement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond brièvement.,Il a répondu brièvement.,brièvement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,简短地,briefly,"* messieurs, je voudrais intervenir très brièvement -- sirs, may I interrupt briefly","messieurs, je voudrais intervenir très brièvement",6,"sirs, may I interrupt briefly",72,319,72 | 319,adv,no_noun_verb_adj_bucket
3394,automatiquement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond automatiquement.,Il a répondu automatiquement.,automatiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,自动地,automatically,* les résultats seront automatiquement enregistrés -- the results will be automatically stored,les résultats seront automatiquement enregistrés,5,the results will be automatically stored,72,308,72 | 308,adv,no_noun_verb_adj_bucket
3410,fréquemment,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je fréquemment travaille.,J'ai fréquemment travaillé.,fréquemment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,频繁地,frequently,* les victimes sont fréquemment des femmes -- the victims are often women,les victimes sont fréquemment des femmes,6,the victims are often women,80,211,80 | 211,adv,no_noun_verb_adj_bucket
3420,hautement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est hautement rapide.,Il travaille hautement.,hautement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,高度地,highly,* c'est hautement improbable -- that's highly improbable,c'est hautement improbable,3,that's highly improbable,83,174,83 | 174,adv,no_noun_verb_adj_bucket
3432,respectivement,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Respectivement, il faut continuer.","Il faut continuer; respectivement, il faut rester prudent.",respectivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,分别地,respectively,* ces deux types de manoeuvres se déroulent respectivement depuis 1976 et 1973 -- these two types of manoeuvres have taken place respectively since 1976 and 1973,ces deux types de manoeuvres se déroulent respectivement depuis 1976 et 1973,12,these two types of manoeuvres have taken place respectively since 1976 and 1973,63,430+n -s,63 | 430+n -s,adv,no_noun_verb_adj_bucket
3497,étroitement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond étroitement.,Il a répondu étroitement.,étroitement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,紧密地,closely,* on pourrait penser qu'ils sont étroitement liés -- one might think that they are closely connected,on pourrait penser qu'ils sont étroitement liés,7,one might think that they are closely connected,76,240,76 | 240,adv,no_noun_verb_adj_bucket
3516,sincèrement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond sincèrement.,Il a répondu sincèrement.,sincèrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,真诚地,sincerely,* je pense sincèrement qu'il est un type bien -- I sincerely think he's a decent fellow,je pense sincèrement qu'il est un type bien,8,I sincerely think he's a decent fellow,72,294-n +s,72 | 294-n +s,adv,no_noun_verb_adj_bucket
3529,volontairement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond volontairement.,Il a répondu volontairement.,volontairement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,自愿地；故意地,"voluntarily, willingly","* volontairement, je fermai les yeux -- willingly, I closed my eyes","volontairement, je fermai les yeux",5,"willingly, I closed my eyes",82,169,82 | 169,adv,no_noun_verb_adj_bucket
3537,habituellement,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je habituellement travaille.,J'ai habituellement travaillé.,habituellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,通常地,"usually, generally",* les groupes sont habituellement composés de huit élèves -- the groups are usually made up of eight students,les groupes sont habituellement composés de huit élèves,8,the groups are usually made up of eight students,72,284,72 | 284,adv,no_noun_verb_adj_bucket
3538,quasiment,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est quasiment rapide.,Il travaille quasiment.,quasiment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,几乎,"almost, early",* il a quasiment tout gagné -- he almost won everything,il a quasiment tout gagné,5,he almost won everything,68,340,68 | 340,adv,no_noun_verb_adj_bucket
3555,précédemment,Adverbs – differences across registers,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Précédemment, je travaille.",Je travaille précédemment.,précédemment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,先前地,previously,* j'ai développé tout ceci précédemment -- I had already developed this,j'ai développé tout ceci précédemment,5,I had already developed this,71,294,71 | 294,adv,no_noun_verb_adj_bucket
3579,pis,none,"adv,nm(pl)",degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est pis rapide.,Il travaille pis.,pis,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,更糟,worse,* les choses vont de mal en pis -- things are going from bad to worse,les choses vont de mal en pis,7,things are going from bad to worse,68,335,68 | 335,adv|nm(pl),moved_from_nouns_contains_adv_or_conj
3587,premièrement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Premièrement, il faut continuer.","Il faut continuer; premièrement, il faut rester prudent.",premièrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,第一；首先,first,"* pour nous, jouer, performer est premièrement une passion! -- for us playing, performing is first of all a passion","pour nous, jouer, performer est premièrement une passion!",8,"for us playing, performing is first of all a passion",57,482-n +s,57 | 482-n +s,adv,no_noun_verb_adj_bucket
3594,brusquement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond brusquement.,Il a répondu brusquement.,brusquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,突然地,"abruptly, suddenly","* je me retournai brusquement, surpris de son silence -- I turned around suddenly, surprised by her silence","je me retournai brusquement, surpris de son silence",8,"I turned around suddenly, surprised by her silence",53,551+l -s,53 | 551+l -s,adv,no_noun_verb_adj_bucket
3647,soigneusement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond soigneusement.,Il a répondu soigneusement.,soigneusement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,仔细地；小心地,"tidily, neatly, carefully",* j'ai soigneusement examiné le document -- I examined the document carefully,j'ai soigneusement examiné le document,5,I examined the document carefully,76,225,76 | 225,adv,no_noun_verb_adj_bucket
3651,physiquement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond physiquement.,Il a répondu physiquement.,physiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,身体上；物理上,physically,* il était physiquement plus fort que moi -- he was physically stronger than me,il était physiquement plus fort que moi,7,he was physically stronger than me,81,171,81 | 171,adv,no_noun_verb_adj_bucket
3657,politiquement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond politiquement.,Il a répondu politiquement.,politiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,政治上,"politically, diplomatically",* il est politiquement correct d'être anti-américain -- it's politically correct to be anti-American,il est politiquement correct d'être anti-américain,6,it's politically correct to be anti-American,72,273,72 | 273,adv,no_noun_verb_adj_bucket
3677,visiblement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Visiblement, il faut continuer.","Il faut continuer; visiblement, il faut rester prudent.",visiblement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,显然地；看得见地,"obviously, clearly, visibly","* il se tait, se domine visiblement -- he shuts up, visibly controlling himself","il se tait, se domine visiblement",6,"he shuts up, visibly controlling himself",72,271,72 | 271,adv,no_noun_verb_adj_bucket
3697,activement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond activement.,Il a répondu activement.,activement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,积极地,actively,* les évadés sont activement recherchés -- the fugitives are being actively sought,les évadés sont activement recherchés,5,the fugitives are being actively sought,75,239,75 | 239,adv,no_noun_verb_adj_bucket
3730,deuxièmement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Deuxièmement, il faut continuer.","Il faut continuer; deuxièmement, il faut rester prudent.",deuxièmement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,第二,secondly,"* deuxièmement, ce n'est pas ma faute -- second, it's not my fault","deuxièmement, ce n'est pas ma faute",6,"second, it's not my fault",55,483-l -n +s,55 | 483-l -n +s,adv,no_noun_verb_adj_bucket
3739,vraisemblablement,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Vraisemblablement, il faut continuer.","Il faut continuer; vraisemblablement, il faut rester prudent.",vraisemblablement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,很可能地,most probably,* les prix resteront vraisemblablement stables -- the prices will likely remain stable,les prix resteront vraisemblablement stables,5,the prices will likely remain stable,75,233,75 | 233,adv,no_noun_verb_adj_bucket
3796,là-dedans,none,adv,place,compound adverb / adverbial phrase,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Là-dedans, je reste.",Je reste là-dedans.,là-dedans,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在里面；在这件事里,"inside, in it",* maintenant rentre là-dedans et fais-moi du thé -- now go back inside and make me some tea,maintenant rentre là-dedans et fais-moi du thé,7,now go back inside and make me some tea,61,384-n +s,61 | 384-n +s,adv,no_noun_verb_adj_bucket
3800,par-dessus,Adverbs – differences across registers,adv,place,compound adverb / adverbial phrase,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Par-dessus, je reste.",Je reste par-dessus.,par-dessus,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在上方；越过,over,* elle voulait un enfant par-dessus tout -- she wanted a child more than anything,elle voulait un enfant par-dessus tout,6,she wanted a child more than anything,62,375+l -n,62 | 375+l -n,adv,no_noun_verb_adj_bucket
3843,différemment,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond différemment.,Il a répondu différemment.,différemment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不同地,differently,* les femmes ont voté différemment de leurs maris -- the women voted differently from their husbands,les femmes ont voté différemment de leurs maris,8,the women voted differently from their husbands,72,243+s,72 | 243+s,adv,no_noun_verb_adj_bucket
3857,dorénavant,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Dorénavant, je travaille.",Je travaille dorénavant.,dorénavant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,从今以后,"from now on, henceforth",* j'écrirai dorénavant sur les deux côtés de la page -- from now on I will write on both sides of the page,j'écrirai dorénavant sur les deux côtés de la page,9,from now on I will write on both sides of the page,80,162,80 | 162,adv,no_noun_verb_adj_bucket
3860,radicalement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond radicalement.,Il a répondu radicalement.,radicalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,彻底地；根本地,radically,"* aujourd'hui, la situation est radicalement différente -- today, the situation is radically different","aujourd'hui, la situation est radicalement différente",6,"today, the situation is radically different",77,191,77 | 191,adv,no_noun_verb_adj_bucket
3902,nullement,Adverbs – differences across registers,adv,negation,derived -ment adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,nullement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,一点也不,not in the least,* il n'est nullement indispensable -- he's by no means indispensable,il n'est nullement indispensable,4,he's by no means indispensable,69,275,69 | 275,adv,no_noun_verb_adj_bucket
3909,terriblement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est terriblement rapide.,Il travaille terriblement.,terriblement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,非常；可怕地,"terribly, awfully",* je suis terriblement navré -- I'm terribly embarrassed,je suis terriblement navré,4,I'm terribly embarrassed,81,157,81 | 157,adv,no_noun_verb_adj_bucket
3962,attentivement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond attentivement.,Il a répondu attentivement.,attentivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,专心地；仔细地,"attentively, carefully, closely",* écoute-moi attentivement -- listen to me carefully,écoute-moi attentivement,2,listen to me carefully,65,307+s,65 | 307+s,adv,no_noun_verb_adj_bucket
3965,au-dessous,Adverbs – differences across registers,adv,place,compound adverb / adverbial phrase,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Au-dessous, je reste.",Je reste au-dessous.,au-dessous,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在下方,underneath,* la température descend au-dessous de -40 -- the temperature is falling below -- 40,la température descend au-dessous de -40,6,the temperature is falling below -- 40,57,396-s,57 | 396-s,adv,no_noun_verb_adj_bucket
3969,entre-temps,none,"adv,nm(pl)",time,compound adverb / adverbial phrase,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Entre-temps, je travaille.",Je travaille entre-temps.,entre-temps,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,与此同时；在此期间,"meanwhile, in the meantime","* entre-temps, la population vieillit et augmente -- in the meantime the population is aging and increasing","entre-temps, la population vieillit et augmente",6,in the meantime the population is aging and increasing,76,198,76 | 198,adv|nm(pl),moved_from_nouns_contains_adv_or_conj
